"zgnile marchewki", "smaczne i zdrowe, a poza tym owocowe", "1.2", "0x0x0", "110"
"kalosze po rusku", "promka, mało używane, prawie nówki", 5, 0x0x0, 7500
"kominki do szminki", "", 333, 3-2-15, 99999
"koSZMAry z ulicy Wall Street", "don't even ask", 0, null , "220"
klocki zepsute, całkiem bez sensu, 12, 12-21-22, 300
"obrazy wyjatkowo artystyczne", "sprzedaż hurtowa od 1000 sztuk", 1, 50-50-5, 100
"pekniete rury do kaloryferow", null, 20, null, 130
"przeterminowana fasolka", "gruba", 10, 1x1x1, 50
"kierwonica do toalety", "", 4, "", 480


